TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Theft from Vehicle,2022,5,3,22,0,1XX KOOTENAY ST,Hastings-Sunrise,498134.7286,5458960.464
Theft from Vehicle,2022,5,26,7,30,1XX N RENFREW ST,Hastings-Sunrise,496800.3896,5459315.7364
Theft from Vehicle,2022,1,10,18,0,1XX NANAIMO ST,Hastings-Sunrise,495893.2617,5459013.2891
Theft from Vehicle,2022,9,25,17,55,1XX RENFREW ST,Hastings-Sunrise,496795.9227,5458959.0522
Theft from Vehicle,2022,4,29,20,0,20XX KAMLOOPS ST,Hastings-Sunrise,496024.4245,5457091.291
Theft from Vehicle,2022,8,27,2,0,20XX NANAIMO ST,Hastings-Sunrise,495887.7874,5457043.0786
Theft from Vehicle,2022,3,24,6,30,20XX NANAIMO ST,Hastings-Sunrise,495887.806,5457023.4175
Theft from Vehicle,2022,8,25,21,0,21XX HERMON DR,Hastings-Sunrise,497829.8577,5456979.5588
Theft from Vehicle,2022,8,16,0,0,22XX KAMLOOPS ST,Hastings-Sunrise,496023.9799,5456890.3872
Theft from Vehicle,2022,11,4,13,0,23XX CASSIAR ST,Hastings-Sunrise,497738.9244,5456771.7015
Theft from Vehicle,2022,5,18,2,30,23XX RENFREW ST,Hastings-Sunrise,496770.637,5456753.3393
Theft from Vehicle,2022,2,21,8,0,24XX ADANAC ST,Hastings-Sunrise,495927.0892,5458298.49
Theft from Vehicle,2022,10,17,22,0,24XX CAMBRIDGE ST,Hastings-Sunrise,495896.1219,5459327.8234
Theft from Vehicle,2022,10,20,16,30,24XX CASSIAR ST,Hastings-Sunrise,497747.5758,5456666.5075
Theft from Vehicle,2022,10,22,8,40,24XX DUNDAS ST,Hastings-Sunrise,495890.8037,5459111.0838
Theft from Vehicle,2022,4,4,21,30,24XX E 2ND AVE,Hastings-Sunrise,495880.8449,5457309.2372
Theft from Vehicle,2022,5,23,0,0,24XX E 2ND AVE,Hastings-Sunrise,495956.9917,5457309.6518
Theft from Vehicle,2022,2,16,17,30,24XX E 3RD AVE,Hastings-Sunrise,495882.8098,5457203.5448
Theft from Vehicle,2022,1,2,16,0,24XX E 3RD AVE,Hastings-Sunrise,495931.3788,5457200.1586
Theft from Vehicle,2022,12,12,12,0,24XX E 5TH AVE,Hastings-Sunrise,495995.9537,5456992.5749
Theft from Vehicle,2022,11,12,23,30,24XX E 7TH AVE,Hastings-Sunrise,495897.3537,5456787.608
Theft from Vehicle,2022,4,11,21,0,24XX E 7TH AVE,Hastings-Sunrise,495993.0605,5456795.9695
Theft from Vehicle,2022,7,1,2,0,24XX E GEORGIA ST,Hastings-Sunrise,495890.5698,5458389.7993
Theft from Vehicle,2022,5,17,3,25,24XX NAPIER ST,Hastings-Sunrise,495987.068,5458030.8892
Theft from Vehicle,2022,4,10,23,30,24XX OXFORD ST,Hastings-Sunrise,495972.5105,5459212.4757
Theft from Vehicle,2022,4,13,19,0,24XX PENTICTON ST,Hastings-Sunrise,496206.0038,5456635.6167
Theft from Vehicle,2022,7,17,3,30,24XX RUPERT ST,Hastings-Sunrise,497556.1315,5456615.1244
Theft from Vehicle,2022,2,19,15,0,24XX TURNER ST,Hastings-Sunrise,495902.0334,5458489.6793
Theft from Vehicle,2022,3,20,4,8,25XX CHARLES ST,Hastings-Sunrise,496023.4241,5457832.0652
Theft from Vehicle,2022,7,15,17,0,25XX E 8TH AVE,Hastings-Sunrise,496161.0875,5456685.0527
Theft from Vehicle,2022,2,18,18,0,25XX E GEORGIA ST,Hastings-Sunrise,496037.926,5458398.6055
Theft from Vehicle,2022,6,5,4,53,25XX E PENDER ST,Hastings-Sunrise,496122.5485,5458605.2294
Theft from Vehicle,2022,2,26,17,0,25XX E PENDER ST,Hastings-Sunrise,496140.0596,5458614.3332
Theft from Vehicle,2022,7,9,3,52,25XX E PENDER ST,Hastings-Sunrise,496202.5686,5458605.0465
Theft from Vehicle,2022,5,20,19,0,25XX ETON ST,Hastings-Sunrise,496095.6827,5459438.9282
Theft from Vehicle,2022,10,18,4,0,25XX ETON ST,Hastings-Sunrise,496205.5839,5459439.4551
Theft from Vehicle,2022,6,14,0,0,25XX GRAVELEY ST,Hastings-Sunrise,496022.6874,5457515.3526
Theft from Vehicle,2022,11,8,18,0,25XX GRAVELEY ST,Hastings-Sunrise,496092.1067,5457524.4974
Theft from Vehicle,2022,11,2,5,38,25XX KITCHENER ST,Hastings-Sunrise,496022.5539,5457723.8481
Theft from Vehicle,2022,3,18,16,0,25XX KITCHENER ST,Hastings-Sunrise,496139.2537,5457732.453
Theft from Vehicle,2022,6,5,0,0,25XX KITCHENER ST,Hastings-Sunrise,496176.4381,5457723.137
Theft from Vehicle,2022,7,25,1,34,25XX KITCHENER ST,Hastings-Sunrise,496176.4381,5457723.137
Theft from Vehicle,2022,4,5,20,0,25XX PANDORA ST,Hastings-Sunrise,496036.0927,5458912.601
Theft from Vehicle,2022,6,1,0,0,25XX PANDORA ST,Hastings-Sunrise,496109.5204,5458912.2552
Theft from Vehicle,2022,1,1,16,0,25XX PARKER ST,Hastings-Sunrise,496106.5978,5458122.1061
Theft from Vehicle,2022,8,16,23,0,25XX TRINITY ST,Hastings-Sunrise,496146.3332,5459667.8615
Theft from Vehicle,2022,9,11,4,28,25XX VENABLES ST,Hastings-Sunrise,496151.9545,5458205.0974
